claim_amount,customer_avg_claim,customer_history,submission_channel,document_type,is_fraud
1200,1000,3,online,pdf,0
5000,2000,10,agent,scan,1
800,900,2,online,pdf,0
15000,5000,20,agent,photo,1
700,800,1,online,pdf,0
3000,1500,5,agent,scan,0
2500,1200,7,online,photo,1
900,950,2,online,pdf,0
4000,2000,8,agent,scan,0
600,700,1,online,pdf,0
1700,1100,4,online,pdf,0
5200,2100,11,agent,scan,1
850,950,3,online,pdf,0
14000,4800,19,agent,photo,1
750,850,2,online,pdf,0
3100,1550,6,agent,scan,0
2600,1250,8,online,photo,1
950,970,3,online,pdf,0
4100,2050,9,agent,scan,0
650,720,2,online,pdf,0
1800,1150,5,online,pdf,0
5300,2150,12,agent,scan,1
900,980,4,online,pdf,0
14500,4900,18,agent,photo,1
800,870,2,online,pdf,0
3200,1600,7,agent,scan,0
2700,1300,9,online,photo,1
1000,990,4,online,pdf,0
4200,2100,10,agent,scan,0
700,740,2,online,pdf,0
1900,1200,6,online,pdf,0
5400,2200,13,agent,scan,1
950,1000,5,online,pdf,0
15000,5000,17,agent,photo,1
850,890,3,online,pdf,0
3300,1650,8,agent,scan,0
2800,1350,10,online,photo,1
1050,1010,5,online,pdf,0
4300,2150,11,agent,scan,0
750,760,3,online,pdf,0
2000,1250,7,online,pdf,0
5500,2250,14,agent,scan,1
1000,1020,6,online,pdf,0
15500,5100,16,agent,photo,1
900,910,4,online,pdf,0
3400,1700,9,agent,scan,0
2900,1400,11,online,photo,1
1100,1030,6,online,pdf,0
4400,2200,12,agent,scan,0
800,780,4,online,pdf,0
2100,1300,8,online,pdf,0
5600,2300,15,agent,scan,1
1050,1040,7,online,pdf,0
16000,5200,15,agent,photo,1
950,930,5,online,pdf,0
3500,1750,10,agent,scan,0
3000,1450,12,online,photo,1
1150,1050,7,online,pdf,0
4500,2250,13,agent,scan,0
850,800,5,online,pdf,0
2200,1350,9,online,pdf,0
5700,2350,16,agent,scan,1
1100,1060,8,online,pdf,0
16500,5300,14,agent,photo,1
1000,950,6,online,pdf,0
3600,1800,11,agent,scan,0
3100,1500,13,online,photo,1
1200,1070,8,online,pdf,0
4600,2300,14,agent,scan,0
900,820,6,online,pdf,0
2300,1400,10,online,pdf,0
5800,2400,17,agent,scan,1
1150,1080,9,online,pdf,0
17000,5400,13,agent,photo,1
1050,970,7,online,pdf,0
3700,1850,12,agent,scan,0
3200,1550,14,online,photo,1
1250,1090,9,online,pdf,0
4700,2350,15,agent,scan,0
950,840,7,online,pdf,0
2400,1450,11,online,pdf,0
5900,2450,18,agent,scan,1
1200,1100,10,online,pdf,0
17500,5500,12,agent,photo,1
1100,990,8,online,pdf,0
3800,1900,13,agent,scan,0
3300,1600,15,online,photo,1
1300,1110,10,online,pdf,0
4800,2400,16,agent,scan,0
1000,860,8,online,pdf,0
2500,1500,12,online,pdf,0
6000,2500,19,agent,scan,1
1250,1120,11,online,pdf,0
18000,5600,11,agent,photo,1
1150,1010,9,online,pdf,0
3900,1950,14,agent,scan,0
3400,1650,16,online,photo,1
1350,1130,11,online,pdf,0
4900,2450,17,agent,scan,0
1050,880,9,online,pdf,0
2600,1550,13,online,pdf,0
6100,2550,20,agent,scan,1
1300,1140,12,online,pdf,0
18500,5700,10,agent,photo,1
1200,1030,10,online,pdf,0
4000,2000,15,agent,scan,0
3500,1700,17,online,photo,1
1400,1150,12,online,pdf,0
5000,2500,18,agent,scan,0
1100,900,10,online,pdf,0
2700,1600,14,online,pdf,0
6200,2600,21,agent,scan,1
1800,1150,5,online,pdf,0
5300,2150,12,agent,scan,1
900,980,4,online,pdf,0
14500,4900,18,agent,photo,1
800,870,2,online,pdf,0
3200,1600,7,agent,scan,0
2700,1300,9,online,photo,1
1000,990,4,online,pdf,0
4200,2100,10,agent,scan,0
700,740,2,online,pdf,0
1900,1200,6,online,pdf,0
5400,2200,13,agent,scan,1
950,1000,5,online,pdf,0
15000,5000,17,agent,photo,1
850,890,3,online,pdf,0
3300,1650,8,agent,scan,0
2800,1350,10,online,photo,1
1050,1010,5,online,pdf,0
4300,2150,11,agent,scan,0
750,760,3,online,pdf,0
2000,1250,7,online,pdf,0
5500,2250,14,agent,scan,1
1000,1020,6,online,pdf,0
15500,5100,16,agent,photo,1
900,910,4,online,pdf,0
3400,1700,9,agent,scan,0
2900,1400,11,online,photo,1
1100,1030,6,online,pdf,0
4400,2200,12,agent,scan,0
800,780,4,online,pdf,0
2100,1300,8,online,pdf,0
5600,2300,15,agent,scan,1
1050,1040,7,online,pdf,0
16000,5200,15,agent,photo,1
950,930,5,online,pdf,0
3500,1750,10,agent,scan,0
3000,1450,12,online,photo,1
1150,1050,7,online,pdf,0
4500,2250,13,agent,scan,0
850,800,5,online,pdf,0
2200,1350,9,online,pdf,0
5700,2350,16,agent,scan,1
1100,1060,8,online,pdf,0
16500,5300,14,agent,photo,1
1000,950,6,online,pdf,0
3600,1800,11,agent,scan,0
3100,1500,13,online,photo,1
1200,1070,8,online,pdf,0
4600,2300,14,agent,scan,0
900,820,6,online,pdf,0
2300,1400,10,online,pdf,0
5800,2400,17,agent,scan,1
1150,1080,9,online,pdf,0
17000,5400,13,agent,photo,1
1050,970,7,online,pdf,0
3700,1850,12,agent,scan,0
3200,1550,14,online,photo,1
1250,1090,9,online,pdf,0
4700,2350,15,agent,scan,0
950,840,7,online,pdf,0
2400,1450,11,online,pdf,0
5900,2450,18,agent,scan,1
1200,1100,10,online,pdf,0
17500,5500,12,agent,photo,1
1100,990,8,online,pdf,0
3800,1900,13,agent,scan,0
3300,1600,15,online,photo,1
1300,1110,10,online,pdf,0
4800,2400,16,agent,scan,0
1000,860,8,online,pdf,0
2500,1500,12,online,pdf,0
6000,2500,19,agent,scan,1
1250,1120,11,online,pdf,0
18000,5600,11,agent,photo,1
1150,1010,9,online,pdf,0
3900,1950,14,agent,scan,0
3400,1650,16,online,photo,1
1350,1130,11,online,pdf,0
4900,2450,17,agent,scan,0
1050,880,9,online,pdf,0
2600,1550,13,online,pdf,0
6100,2550,20,agent,scan,1
1300,1140,12,online,pdf,0
18500,5700,10,agent,photo,1
1200,1030,10,online,pdf,0
4000,2000,15,agent,scan,0
3500,1700,17,online,photo,1
1400,1150,12,online,pdf,0
5000,2500,18,agent,scan,0
1100,900,10,online,pdf,0
2700,1600,14,online,pdf,0
6200,2600,21,agent,scan,1
